Value,Description
Hedge Ornamental Non Native,Hedge Ornamental Non Native
Line of Trees,Line of Trees
Line of Trees - Associated with bank or ditch,Line of Trees - Associated with bank or ditch
Line of Trees (Ecologically Valuable),Line of Trees (Ecologically Valuable)
Line of Trees (Ecologically Valuable) - with Bank or Ditch,Line of Trees (Ecologically Valuable) - with Bank or Ditch
Native Hedgerow,Native Hedgerow
Native Hedgerow - Associated with bank or ditch,Native Hedgerow - Associated with bank or ditch
Native Hedgerow with trees,Native Hedgerow with trees
Native Hedgerow with trees - Associated with bank or ditch,Native Hedgerow with trees - Associated with bank or ditch
Native Species Rich Hedgerow,Native Species Rich Hedgerow
Native Species Rich Hedgerow - Associated with bank or ditch,Native Species Rich Hedgerow - Associated with bank or ditch
Native Species Rich Hedgerow with trees,Native Species Rich Hedgerow with trees
Native Species Rich Hedgerow with trees - Associated with bank or ditch,Native Species Rich Hedgerow with trees - Associated with bank or ditch
To be created,To be created
