Category,Significance
Created,Within area formally identified in local strategy
Created,Location ecologically desirable but not in local strategy
Created,Area/compensation not in local strategy/ no local strategy
Enhanced,Within area formally identified in local strategy
Enhanced,Location ecologically desirable but not in local strategy
Enhanced,Area/compensation not in local strategy/ no local strategy
Retained,Within area formally identified in local strategy
Retained,Location ecologically desirable but not in local strategy
Retained,Area/compensation not in local strategy/ no local strategy
Lost,N/A
